first_day_in_week,last_day_in_week,MLSR_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.44_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.72,PIU.TA_weekly_mean_diff_0.36,HARL.TA_weekly_mean_diff_0.37,MLTM.TA_weekly_mean_diff_0.37,MZTF.TA_weekly_mean_diff_0.37,SHOM.TA_weekly_mean_diff_0.37,TUZA.TA_weekly_mean_diff_0.37,FIBIH.TA_weekly_mean_diff_0.38,MTRX.TA_weekly_mean_diff_0.38,BIOV.TA_weekly_mean_diff_0.39,LEVI.TA_weekly_mean_diff_0.39,PCBT.TA_weekly_mean_diff_0.39,IBI.TA_weekly_mean_diff_0.41,PHOE.TA_weekly_mean_diff_0.41,ROTS.TA_weekly_mean_diff_0.42,HARL.TA_weekly_mean_diff_0.37_INT_PHOE.TA_weekly_mean_diff_0.41_corr_0.81,OPAL.TA_weekly_mean_diff_0.44,RLCO.TA_weekly_mean_diff_0.48,ALRPR.TA_weekly_mean_diff_0.56,ALRPR.TA_weekly_mean_diff_0.56_INT_HLMS.TA_weekly_mean_diff_0.36_corr_0.71,SHOM.TA_weekly_mean_diff_0.37_INT_OPAL.TA_weekly_mean_diff_0.44_corr_0.77
2020-02-23,2020-02-29,-437.5,1226.3999999999999,-14.8,-81.4,-1396.0,-46.4,-20.4,0.24000015258789062,-140.0,-108.0,0.560003662109375,-426.0,-6.279998779296875,-1.0,-42.6,-62.4,3467.6400000000003,-2.8,-64.0,-438.0,5080.8,57.11999999999999
2020-03-01,2020-03-07,-1425.0,18912.5,-33.8999938964844,-65.75,-1357.5,-126.5,-40.44999694824219,-1.175000190734865,-210.75,-163.25,-8.925003051757812,-472.5,-13.200004577636719,-67.75,-60.5,-117.0,3977.875,-21.25,-59.0,-890.0,7631.74728393556,859.5624351501465
2020-03-08,2020-03-14,-470.0,30591.499999999993,-71.30000305175778,-82.75,-3262.5,-371.5,-62.275001525878906,0.10000038146972834,-485.5,-328.0,-16.549999237060547,-1332.5,-19.875,-241.5,-72.25,-134.25,5978.6875,-30.499999999999993,-85.25,-1003.0,32948.54846954347,1899.3875465393062
2020-03-15,2020-03-21,-62.0,452.4879602050783,-6.85999755859375,29.0,-80.0,-157.6,-2.179998779296875,-0.41999969482421873,225.2,127.0,-4.380001831054687,-124.0,-10.879998779296875,-88.0,4.6,-28.0,133.39999999999998,-13.87999877929688,-35.2,-32.6,276.44805969238246,30.258380395509313
2020-03-22,2020-03-28,182.0,4129.728229980468,11.039990234375,37.0,1470.0,34.0,37.6,1.1399993896484375,116.0,95.6,5.0800018310546875,618.0,5.6,81.2,54.4,62.0,2012.8,10.960000610351562,93.8,376.8,3850.895310058594,412.09602294921876
2020-03-29,2020-04-04,280.0,1127.3036627197287,37.32000732421875,-8.6,1488.0,2.0,-6.44000244140625,-0.21999969482421874,50.8,77.4,11.539999389648438,342.0,21.3,79.0,10.8,23.6,-92.88,6.119998168945324,-7.2,184.2,1786.7399999999998,-39.41280314940967
2020-04-05,2020-04-11,-263.3333333333333,-278.0451931423588,4.666666666666667,9.0,553.3333333333334,6.666666666666667,11.599995930989584,-0.7666664123535156,65.33333333333333,93.0,-4.799997965494801,-240.0,2.3333333333333335,66.33333333333333,7.666666666666667,58.333333333333336,69.0,2.266672770182273,20.0,-122.66666666666667,425.24419487847223,26.293394910999254
2020-04-12,2020-04-18,-80.0,76.00173950194772,25.466654459635453,55.0,-1210.0,3.6666666666666665,12.5,0.5333328247070312,-190.66666666666666,2.6666666666666665,4.266662597656269,43.333333333333336,-0.3333333333333333,14.666666666666666,11.333333333333334,40.666666666666664,623.3333333333334,-0.2666727701822727,-43.666666666666664,-285.0,1377.5,-3.333409627278409
2020-04-19,2020-04-25,646.6666666666666,60.09213256835897,3.3,38.6,896.0,92.4,10.52000732421875,0.4400001525878906,94.2,86.8,-1.9199981689453183,-224.0,2.5599975585937615,37.2,32.8,15.2,1266.08,1.6600036621093637,36.2,36.2,-0.724044189453125,17.46325068362045
2020-04-26,2020-05-02,-122.0,1965.5980224609375,16.46667480468746,34.333333333333336,880.0,93.66666666666667,27.133321126302082,0.3333333333333333,163.33333333333334,33.0,3.899998982747396,316.6666666666667,1.1000061035156061,43.333333333333336,12.666666666666666,63.0,434.8888888888889,6.066660563151042,-33.666666666666664,324.0,5119.20263671875,164.60864922424986
2020-05-03,2020-05-09,-424.0,-1023.2757678222655,4.2,-21.0,380.0,-17.8,-9.2199951171875,-0.04000015258789062,-104.8,-77.0,-2.2,-394.0,3.1399963378906364,-52.0,-26.6,-54.8,558.6,5.379998779296875,-16.8,-190.2,536.3642321777344,-49.60356247559189
2020-05-10,2020-05-16,362.0,1939.2627734374998,-10.6,-29.6,0.0,-110.6,-23.2800048828125,1.1599998474121094,-135.8,-20.2,-0.6799987792968807,186.0,1.6800048828124887,-9.8,-34.2,-7.2,1012.3200000000002,-7.7199951171875,-21.8,-251.2,909.344306640625,179.72152402341365
2020-05-17,2020-05-23,57.5,-16.28,3.8,32.6,472.0,73.0,13.8,2.8400001525878906,62.6,128.2,0.019998168945318185,-28.0,4.539996337890625,-25.6,16.0,-44.0,521.6,-0.2,18.0,81.4,105.82000000000001,-2.7600000000000002
2020-05-24,2020-05-30,30.0,-0.0,-19.875,3.75,-692.5,-8.75,-8.17498779296875,-0.25,-17.5,208.5,-2.424999237060547,210.0,4.625,-43.0,7.5,-20.75,28.125,-2.25,39.0,0.0,-0.0,18.393722534179688
2020-05-31,2020-06-06,-15.0,-7.3599609375,-6.080004882812477,-22.8,384.0,30.6,1.1199951171875,-0.27999954223632956,-49.8,-36.8,0.4399993896484375,268.0,-0.32000122070311365,-0.8,-28.0,4.4,638.4,0.45999755859375,-22.8,-16.0,-43.520019531250185,0.5151950195431709
2020-06-07,2020-06-13,-4.0,240.15569686889648,7.725006103515597,1.0,-325.0,154.5,-11.524993896484375,0.34999942779541193,-4.5,59.5,1.4500007629394531,-72.5,1.2000045776367045,13.75,11.25,2.5,11.25,1.3249969482421875,18.25,181.25,-149.53207969665527,-15.270581741351634
2020-06-14,2020-06-20,-144.0,-569.66373046875,12.0,16.8,960.0,-111.2,-0.72000732421875,0.04000015258789062,-10.8,50.0,-1.1399993896484375,-520.0,-1.820001220703125,-14.2,12.6,28.0,211.68,-5.15999755859375,-12.2,110.4,-234.048134765625,3.7152360351383686
2020-06-21,2020-06-27,260.0,385.0881335449213,-7.2,-31.0,-588.0,-45.8,-5.55999755859375,0.5800003051757798,-81.8,-103.0,2.079998779296875,-138.0,1.64000244140625,-0.8,-44.2,19.0,1370.2,-3.5200012207031195,-9.4,-109.4,15.31559936523562,19.571198193356363
2020-06-28,2020-07-04,-190.0,288.6397381591669,-0.9000022888183594,17.800013732910248,-1012.0,75.60004272460938,11.500001144409179,-0.24000043869018411,76.80001831054688,-2.6,-0.2200000762939453,-352.0,-3.0400062561035157,-20.4,3.399999237060547,-17.799984741210938,60.5200331115621,-4.100000190734863,3.4000152587890624,-70.39993286132812,91.52006042466382,-47.150006885528775
2020-07-05,2020-07-11,22.0,34.44407530965878,-4.399997711181641,-10.200013732910246,-1072.0,-29.200042724609375,-13.440003585815429,0.34000043869018415,-141.80001831054688,20.0,0.02000007629394531,-94.0,0.46000137329102697,22.8,-5.599999237060547,-19.600015258789064,57.12006912230448,-1.5799985885620174,1.7999847412109375,-21.800067138671874,121.64436881254285,21.23518669585683
2020-07-12,2020-07-18,-210.0,3.7759960937500185,6.14000244140625,-4.0,236.0,-35.4,1.32000732421875,0.23999938964843892,38.6,42.0,7.060000610351563,298.0,-9.959997558593761,27.6,22.2,71.4,-88.8,1.1799987792968807,6.6,3.2,9.407998046875036,1.5576070312410668
2020-07-19,2020-07-25,122.5,-5.096001586914048,-1.4,21.4,-240.0,9.6,8.639990234375,1.7400009155273437,-65.6,58.0,2.120001220703114,6.0,10.120001220703125,-3.4,4.2,-13.0,89.88,1.9600006103515568,1.0,-2.6,-0.7279968261718455,16.93438613280649
2020-07-26,2020-08-01,,-119.92528152465732,22.949996948242188,28.5,797.5,17.75,-4.75,0.0,64.5,157.75,-0.02500152587889204,445.0,-0.7750015258789062,47.5,5.0,-5.25,142.5,0.9750022888183523,-11.75,-123.0,98.39943695068534,-4.631260871887173
