first_day_in_week,last_day_in_week,HGG_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.56_INT_SHOM.TA_weekly_mean_diff_0.39_corr_0.72,CLIS.TA_weekly_mean_diff_0.39,ELCRE.TA_weekly_mean_diff_0.39,HOD.TA_weekly_mean_diff_0.39,SHOM.TA_weekly_mean_diff_0.39,ZUR.TA_weekly_mean_diff_0.39,LDER.TA_weekly_mean_diff_0.4,ROTS.TA_weekly_mean_diff_0.4,SHGR.TA_weekly_mean_diff_0.4,PCBT.TA_weekly_mean_diff_0.41,FIBI.TA_weekly_mean_diff_0.45,HARL.TA_weekly_mean_diff_0.45,FIBIH.TA_weekly_mean_diff_0.46,PHOE.TA_weekly_mean_diff_0.46,PIU.TA_weekly_mean_diff_0.46,IES.TA_weekly_mean_diff_0.48,ALRPR.TA_weekly_mean_diff_0.56,ALRPR.TA_weekly_mean_diff_0.56_INT_FIBIH.TA_weekly_mean_diff_0.46_corr_0.73,ALRPR.TA_weekly_mean_diff_0.56_INT_ZUR.TA_weekly_mean_diff_0.39_corr_0.71,PHOE.TA_weekly_mean_diff_0.46_INT_HARL.TA_weekly_mean_diff_0.45_corr_0.83,BSEN.TA_weekly_mean_diff_0.37_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.73,AZRM.TA_weekly_mean_diff_0.38_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.74
2019-12-15,2019-12-21,4.400005340576216,900.3201660156251,-49.4,-2.0,-7.999992370605469,13.24000244140625,1.0,-0.01999969482421875,-26.2,13.0,-2.4400024414062385,-72.0,-6.6,-56.0,-13.4,-19.0,-32.0,68.0,-3808.0,68.0,88.44,-2720.0,231.2
2019-12-22,2019-12-28,17.999992370605426,-154.560205078125,0.8,21.0,23.99997711181627,3.6800048828125,-0.4,-0.14000015258789061,-14.8,-1.4,12.5,14.0,2.4,-2.0,6.4,5.0,-92.0,-42.0,84.0,16.8,15.36,-2604.0,-265.43979492187503
2019-12-29,2020-01-04,-1.2000083923339844,724.799560546875,15.0,-22.4,-3.40000152587877,12.07999267578125,7.4,0.8799995422363281,29.2,5.0,-3.379998779296886,-12.0,-6.2,-16.0,-0.8,10.8,76.0,60.0,-960.0,444.0,4.960000000000001,-240.0,52.80029296875
2020-01-05,2020-01-11,-13.799991607666016,1012.0000000000009,-83.6,0.2,-7.79998779296875,23.00000000000002,-10.6,0.3400009155273409,34.0,7.8,-0.32000122070311365,2.0,-31.4,-14.0,-20.0,3.4,-234.0,44.0,-616.0,-466.4,628.0,-4400.0,293.039892578125
2020-01-12,2020-01-18,-2.9999923706054235,-4489.31591796876,-37.0,-14.2,5.600013732910156,-10.739990234375023,-4.2,-0.5199996948242159,12.4,-4.2,4.7,-54.0,8.8,-8.0,0.2,2.6,86.0,418.0,-3344.0,-1755.6000000000001,1.7600000000000002,121220.0,4238.521020507812
2020-01-19,2020-01-25,-11.20000839233403,70.56020507812501,33.6,-6.8,13.800010681152344,-0.84000244140625,14.8,0.4399993896484375,32.6,2.4,2.5400024414062385,24.0,-1.2,-30.0,-0.6,-0.2,-26.0,-84.0,2520.0,-1243.2,0.72,6720.0,-630.0
2020-01-26,2020-02-01,2.199993133544877,743.60107421875,-73.6,16.4,8.199996948242188,-3.3800048828125,-1.2,0.019999694824221592,-17.0,-9.8,-0.979998779296875,-41.2,-40.2,-36.0,-16.2,-16.6,-486.0,-220.0,7920.0,264.0,651.24,4840.0,13.199462890625
2020-02-02,2020-02-08,-6.9999885559081125,-951.0801513671876,-52.8,57.6,-29.600009918212937,15.34000244140625,-12.8,-0.3199996948242216,15.4,-17.2,-1.920001220703125,35.6,-3.4,124.0,-8.4,-17.6,-96.0,-62.0,-7688.0,793.6,28.56,11160.0,-1566.1198486328124
2020-02-09,2020-02-15,10.200004577636673,195.599853515625,-27.2,8.2,9.200000762939363,-6.5199951171875,17.8,0.5199996948242216,-27.2,14.8,2.84000244140625,-44.4,3.8,-166.0,15.2,13.6,214.0,-30.0,4980.0,-534.0,57.76,-5160.0,255.5998535156257
2020-02-16,2020-02-22,-14.300010108947706,3200.478784179688,45.6,19.6,-8.600006103515488,19.27999267578125,10.0,0.919999694824216,15.4,-8.8,1.079998779296875,32.0,21.6,28.0,7.8,-6.0,112.0,166.0,4648.0,1660.0,168.48000000000002,-11620.0,820.0383789062575
2020-02-23,2020-02-29,-33.624997854232845,8935.199999999999,-111.8,-46.2,-25.400009155273438,-20.4,-36.0,-0.11999969482421875,-62.4,-20.0,-6.279998779296875,-88.8,-81.4,-140.0,-42.6,-14.8,-616.0,-438.0,61320.0,15768.0,3467.6400000000003,211992.0,8067.957861328135
2020-03-01,2020-03-07,-89.04999494552612,36000.49728393555,-163.75,-53.5,-22.999978065490723,-40.44999694824219,-57.5,-2.5249996185302734,-117.0,-31.074996948242188,-13.200004577636719,-151.5,-65.75,-210.75,-60.5,-33.8999938964844,-497.5,-890.0,187567.5,51175.0,3977.875,273675.0,25164.744567871094
