,0,1,2,3,4,5
1736,reidsville,,,,,
1737,moultrie,,,,,
1738,milwaukee,,,,,
1739,corpus christi,,,,,
1740,seneca falls,,,,,
1741,north charleston,,,,,
1742,stafford,,,,,
1743,elkton,,,,,
1744,bakersfield,,,,,
1745,johnson city,,,,,
1746,johnson city,,,,,
1747,rockford,,,,,
1748,honolulu,,,,,
1749,auburn hills,,,,,
1750,goshen,,,,,
1751,saint george,,,,,
1752,lawton,,,,,
1753,slidell,,,,,
1754,west monroe,,,,,
1755,cypress,,,,,
1756,cudahy,,,,,
1757,carson,,,,,
1758,kent,,,,,
1759,land o' lakes,,,,,
1760,goshen,,,,,
1761,montebello,,,,,
1762,milwaukee,,,,,
1763,vacaville,,,,,
1764,abbeville,,,,,
1765,sandusky,,,,,
1766,palatka,,,,,
1767,kent,,,,,
1768,goose creek,,,,,
1769,college station,,,,,
1770,norfolk,,,,,
1771,montrose,,,,,
1772,cedar rapids,,,,,
1773,lakeland,,,,,
1774,maryville,,,,,
1775,san juan,,,,,
1776,bellmore,,,,,
1777,ocoee,,,,,
1778,cedar rapids,,,,,
1779,west chicago,,,,,
1780,racine,,,,,
1781,sarasota,,,,,
1782,nicholasville,,,,,
1783,evanston,,,,,
1784,darby,,,,,
1785,winston-salem,,,,,
1786,montgomery,,,,,
1787,willowbrook,,,,,
1788,goldsboro,,,,,
1789,overland,,,,,
1790,wilson,,,,,
1791,lawrence,,,,,
1792,weslaco,,,,,
1793,grand prairie,,,,,
1794,grand blanc,,,,,
1795,boiling springs,,,,,
1796,san juan,,,,,
1797,cedar rapids,,,,,
1798,danbury,,,,,
1799,salem,,,,,
1800,tegucigalpa,,,,,
1801,wabash,,,,,
1802,hammond,,,,,
1803,laredo,,,,,
1804,hastings,,,,,
1805,alice,,,,,
1806,bridgeport,,,,,
1807,norwalk,,,,,
1808,new windsor,,,,,
1809,honolulu,,,,,
1810,kirksville,,,,,
1811,kent,,,,,
1812,corpus christi,,,,,
1813,groton,,,,,
1814,jersey city,,,,,
1815,laredo,,,,,
1816,carrollton,,,,,
1817,gettysburg,,,,,
1818,sanderson,,,,,
1819,bullhead city,,,,,
1820,milwaukee,,,,,
1821,ocoee,,,,,
1822,palmetto,,,,,
1823,wilson,,,,,
1824,san juan,,,,,
1825,easton,,,,,
1826,lexington,,,,,
1827,griffin,,,,,
1828,streamwood,,,,,
1829,bakersfield,,,,,
1830,kent,,,,,
1831,spartanburg,,,,,
1832,lodi,,,,,
1833,willowbrook,,,,,
1834,wylie,,,,,
1835,reidsville,,,,,
1836,ciudad juárez,,,,,
1837,belton,,,,,
1838,ypsilanti,,,,,
1839,willowbrook,,,,,
1840,bronxville,,,,,
1841,blythe,,,,,
1842,belleville,,,,,
1843,nuevo laredo,,,,,
1844,grand prairie,,,,,
1845,shirley,,,,,
1846,florence,,,,,
1847,ypsilanti,,,,,
1848,fargo,,,,,
1849,upper marlboro,,,,,
1850,mexicali,,,,,
1851,mocksville,,,,,
1852,sterling,,,,,
1853,overland,,,,,
1854,milwaukee,,,,,
1855,phillipsburg,,,,,
1856,zanesville,,,,,
1857,murfreesboro,,,,,
1858,topeka,,,,,
1859,merrick,,,,,
1860,norfolk,,,,,
1861,milwaukee,,,,,
1862,danville,,,,,
1863,tuscaloosa,,,,,
1864,pacoima,,,,,
1865,vestal,,,,,
1866,weslaco,,,,,
1867,smyrna,,,,,
1868,chino,,,,,
1869,myersville,,,,,
1870,danville,,,,,
1871,milwaukee,,,,,
1872,knightdale,,,,,
1873,holland,,,,,
1874,cary,,,,,
1875,glen burnie,,,,,
1876,cabo rojo,,,,,
1877,gaithersburg,,,,,
1878,pleasanton,,,,,
1879,daytona beach,,,,,
1880,bakersfield,,,,,
1881,sarasota,,,,,
1882,lexington,,,,,
1883,honolulu,,,,,
1884,sterling,,,,,
1885,raymore,,,,,
1886,westminster,,,,,
1887,ciudad juárez,,,,,
1888,florence,,,,,
1889,altoona,,,,,
1890,salem,,,,,
1891,lawrence,,,,,
1892,norfolk,,,,,
1893,la grande,,,,,
1894,ciudad juárez,,,,,
1895,kelso,,,,,
1896,chalmette,,,,,
1897,norfolk,,,,,
1898,palatka,,,,,
1899,grand prairie,,,,,
1900,lake charles,,,,,
1901,wilson,,,,,
1902,lexington,,,,,
1903,loiza,,,,,
1904,lakeland,,,,,
1905,wappingers falls,,,,,
1906,carlisle,,,,,
1907,bogalusa,,,,,
1908,fargo,,,,,
1909,goodyear,,,,,
1910,lawton,,,,,
1911,madisonville,,,,,
1912,san juan,,,,,
1913,wilson,,,,,
1914,orange,,,,,
1915,berlin,,,,,
1916,draper,,,,,
1917,bourbonnais,,,,,
1918,grand prairie,,,,,
1919,darby,,,,,
1920,altoona,,,,,
1921,east chicago,,,,,
1922,boiling springs,,,,,
1923,norfolk,,,,,
1924,spartanburg,,,,,
1925,peachtree corners,,,,,
1926,milwaukee,,,,,
1927,spartanburg,,,,,
1928,knightdale,,,,,
1929,maryville,,,,,
1930,pinellas park,,,,,
1931,tuscaloosa,,,,,
1932,belleville,,,,,
1933,griffin,,,,,
1934,honolulu,,,,,
1935,bronxville,,,,,
1936,belleville,,,,,
1937,rocky mount,,,,,
1938,west springfield,,,,,
1939,milwaukee,,,,,
1940,grand prairie,,,,,
1941,honolulu,,,,,
1942,milwaukee,,,,,
1943,maryville,,,,,
1944,milwaukee,,,,,
1945,danville,,,,,
1946,kent,,,,,
1947,moorhead,,,,,
1948,milwaukee,,,,,
1949,honolulu,,,,,
1950,schenectady,,,,,
1951,san juan,,,,,
1952,biloxi,,,,,
1953,weslaco,,,,,
1954,bakersfield,,,,,
1955,berlin,,,,,
1956,san juan,,,,,
1957,honolulu,,,,,
1958,cassville,,,,,
1959,hobbs,,,,,
1960,palatka,,,,,
1961,seaford,,,,,
1962,las piedras,,,,,
1963,smyrna,,,,,
1964,little rock,,,,,
1965,portsmouth,,,,,
1966,happy valley,,,,,
1967,portsmouth,,,,,
1968,westminster,,,,,
1969,millington,,,,,
1970,weslaco,,,,,
1971,lakeland,,,,,
1972,kirksville,,,,,
1973,herndon,,,,,
1974,apopka,,,,,
1975,germantown,,,,,
1976,big bear,,,,,
1977,nuevo casas grandes,,,,,
1978,milwaukee,,,,,
1979,bowling green,,,,,
1980,kent,,,,,
1981,laredo,,,,,
1982,land o' lakes,,,,,
1983,bowling green,,,,,
1984,surprise,,,,,
1985,jamestown,,,,,
1986,elkton,,,,,
1987,portsmouth,,,,,
1988,sparks,,,,,
1989,el campo,,,,,
1990,corona,,,,,
1991,oak ridge,,,,,
1992,milwaukee,,,,,
1993,pine hills,,,,,
1994,lexington,,,,,
1995,duluth,,,,,
1996,saltillo,,,,,
1997,blackwood,,,,,
1998,belleville,,,,,
1999,methuen,,,,,
2000,yukon,,,,,
2001,pine hills,,,,,
2002,milwaukee,,,,,
2003,danville,,,,,
2004,daytona beach,,,,,
2005,summit,,,,,
2006,laredo,,,,,
2007,elkton,,,,,
2008,carlisle,,,,,
2009,belleville,,,,,
2010,weslaco,,,,,
2011,huntington,,,,,
2012,belleville,,,,,
2013,camarillo,,,,,
2014,temple,,,,,
2015,pueblo,,,,,
2016,rocky mount,,,,,
2017,oak ridge,,,,,
2018,morrisville,,,,,
2019,cape girardeau,,,,,
2020,rocky mount,,,,,
2021,happy valley,,,,,
2022,birdsboro,,,,,
2023,gaithersburg,,,,,
2024,rockford,,,,,
2025,clewiston,,,,,
2026,north olmsted,,,,,
2027,temple,,,,,
2028,germantown,,,,,
2029,boonsboro,,,,,
2030,ottumwa,,,,,
2031,norfolk,,,,,
2032,pacoima,,,,,
2033,wilkesboro,,,,,
2034,broomfield,,,,,
2035,wolcottville,,,,,
2036,norfolk,,,,,
2037,weslaco,,,,,
2038,norfolk,,,,,
2039,broken arrow,,,,,
2040,wilson,,,,,
2041,apopka,,,,,
2042,milton,,,,,
2043,milwaukee,,,,,
2044,balcones heights,,,,,
2045,kent,,,,,
2046,shelby,,,,,
2047,grand prairie,,,,,
2048,laredo,,,,,
2049,lakeland,,,,,
2050,goldsboro,,,,,
2051,taylor,,,,,
2052,london,,,,,
2053,staunton,,,,,
2054,seaford,,,,,
2055,winston-salem,,,,,
2056,shafter,,,,,
2057,carrollton,,,,,
2058,auburn hills,,,,,
2059,portsmouth,,,,,
2060,honolulu,,,,,
2061,wright city,,,,,
2062,honolulu,,,,,
2063,belleville,,,,,
2064,hammond,,,,,
2065,upper marlboro,,,,,
2066,pleasanton,,,,,
2067,hermitage,,,,,
2068,merchantville,,,,,
2069,binghamton,,,,,
2070,portsmouth,,,,,
2071,bakersfield,,,,,
2072,puerto vallarta,,,,,
2073,murfreesboro,,,,,
2074,asbury park,,,,,
2075,merrick,,,,,
2076,stafford,,,,,
2077,norfolk,,,,,
2078,cartersville,,,,,
2079,milwaukee,,,,,
2080,bonaire,,,,,
2081,new baltimore,,,,,
2082,methuen,,,,,
2083,abbeville,,,,,
2084,carlisle,,,,,
2085,waterbury,,,,,
2086,lakeland,,,,,
2087,woodbine,,,,,
2088,bridgeton,,,,,
2089,belleville,,,,,
2090,venice,,,,,
2091,pacoima,,,,,
2092,laredo,,,,,
2093,lawrence,,,,,
2094,smyrna,,,,,
2095,racine,,,,,
2096,waterbury,,,,,
2097,taylor,,,,,
2098,hammond,,,,,
2099,upper marlboro,,,,,
2100,chesterfield,,,,,
2101,cabo rojo,,,,,
2102,upper marlboro,,,,,
2103,jersey city,,,,,
2104,carol stream,,,,,
2105,belleville,,,,,
2106,college station,,,,,
2107,san juan,,,,,
2108,knightdale,,,,,
2109,aguadilla,,,,,
2110,pueblo,,,,,
2111,sterling,,,,,
2112,east orange,,,,,
2113,barstow,,,,,
2114,murfreesboro,,,,,
2115,san juan,,,,,
2116,palatka,,,,,
2117,glen burnie,,,,,
2118,honolulu,,,,,
2119,maryville,,,,,
2120,cassville,,,,,
2121,vacaville,,,,,
2122,angola,,,,,
2123,lakeland,,,,,
2124,saint james,,,,,
2125,san juan,,,,,
2126,lexington,,,,,
2127,lake charles,,,,,
2128,new baltimore,,,,,
2129,norfolk,,,,,
2130,norfolk,,,,,
2131,salem,,,,,
2132,urbandale,,,,,
2133,milwaukee,,,,,
2134,coos bay,,,,,
2135,slidell,,,,,
2136,slidell,,,,,
2137,lexington,,,,,
2138,connelly springs,,,,,
2139,norfolk,,,,,
2140,milwaukee,,,,,
2141,west chicago,,,,,
2142,upper marlboro,,,,,
2143,san luis potosí city,,,,,
2144,takoma park,,,,,
2145,san juan,,,,,
2146,mastic,,,,,
2147,roseburg,,,,,
2148,daytona beach,,,,,
2149,milwaukee,,,,,
2150,north chicago,,,,,
2151,bridgeton,,,,,
2152,rockford,,,,,
2153,waterbury,,,,,
2154,norfolk,,,,,
2155,san juan,,,,,
2156,sterling,,,,,
2157,floral park,,,,,
2158,south bend,,,,,
2159,balcones heights,,,,,
2160,hammond,,,,,
2161,maryville,,,,,
2162,latrobe,,,,,
2163,norfolk,,,,,
2164,weslaco,,,,,
2165,milwaukee,,,,,
2166,grand prairie,,,,,
2167,gaithersburg,,,,,
2168,panama city,,,,,
2169,pacoima,,,,,
2170,ringgold,,,,,
2171,batavia,,,,,
2172,kent,,,,,
2173,carson city,,,,,
2174,murfreesboro,,,,,
2175,dickinson,,,,,
2176,kent,,,,,
2177,royse city,,,,,
2178,jersey city,,,,,
2179,lincolnshire,,,,,
2180,rossville,,,,,
2181,lawton,,,,,
2182,alice,,,,,
2183,lynwood,,,,,
2184,gaithersburg,,,,,
2185,waterbury,,,,,
2186,east orange,,,,,
2187,portsmouth,,,,,
2188,pacoima,,,,,
2189,owings,,,,,
2190,apopka,,,,,
2191,milwaukee,,,,,
2192,palatka,,,,,
2193,el centro,,,,,
2194,woodland,,,,,
2195,milwaukee,,,,,
2196,ballwin,,,,,
2197,lithonia,,,,,
2198,port allen,,,,,
2199,kinston,,,,,
2200,laredo,,,,,
2201,abilene,,,,,
2202,elburn,,,,,
2203,milwaukee,,,,,
2204,pacoima,,,,,
2205,goodyear,,,,,
2206,kent,,,,,
2207,napa,,,,,
2208,kent,,,,,
2209,hammond,,,,,
2210,desert hot springs,,,,,
2211,tuscola,,,,,
2212,pacoima,,,,,
2213,olympia,,,,,
2214,rensselaer,,,,,
2215,milwaukee,,,,,
2216,canby,,,,,
2217,east chicago,,,,,
2218,grand blanc,,,,,
2219,cary,,,,,
2220,weslaco,,,,,
2221,scottsdale,,,,,
2222,takoma park,,,,,
2223,hannibal,,,,,
2224,crawfordville,,,,,
2225,sterling,,,,,
2226,mount holly,,,,,
2227,belton,,,,,
2228,hammond,,,,,
2229,grand prairie,,,,,
2230,norwalk,,,,,
2231,milwaukee,,,,,
2232,lititz,,,,,
2233,skokie,,,,,
2234,warner robins,,,,,
2235,loganville,,,,,
2236,lakeland,,,,,
2237,gretna,,,,,
2238,pacoima,,,,,
2239,san juan,,,,,
2240,norfolk,,,,,
2241,altoona,,,,,
2242,new windsor,,,,,
2243,portsmouth,,,,,
2244,pearl city,,,,,
2245,wytheville,,,,,
2246,honolulu,,,,,
2247,bakersfield,,,,,
2248,portsmouth,,,,,
2249,purdon,,,,,
2250,manito,,,,,
2251,huntington,,,,,
2252,grand prairie,,,,,
2253,maryville,,,,,
2254,goshen,,,,,
2255,belleville,,,,,
2256,kelso,,,,,
2257,san juan,,,,,
2258,san juan,,,,,
2259,bakersfield,,,,,
2260,smyrna,,,,,
2261,altamont,,,,,
2262,cedar rapids,,,,,
2263,port neches,,,,,
2264,rolla,,,,,
2265,saltillo,,,,,
2266,kinston,,,,,
2267,bullhead city,,,,,
2268,griffin,,,,,
2269,overland,,,,,
2270,laredo,,,,,
2271,kent,,,,,
2272,willowbrook,,,,,
2273,yuma,,,,,
2274,fairfax,,,,,
2275,norfolk,,,,,
2276,norfolk,,,,,
2277,shelbyville,,,,,
2278,laredo,,,,,
2279,huntington,,,,,
2280,wappingers falls,,,,,
2281,topeka,,,,,
2282,college station,,,,,
2283,alpharetta,,,,,
2284,conyers,,,,,
2285,dickinson,,,,,
2286,johnson city,,,,,
2287,summit,,,,,
2288,san juan,,,,,
2289,norfolk,,,,,
2290,hammond,,,,,
2291,belleville,,,,,
2292,holt,,,,,
2293,new baltimore,,,,,
2294,new baltimore,,,,,
2295,norfolk,,,,,
2296,palatka,,,,,
2297,milwaukee,,,,,
2298,shirley,,,,,
2299,conyers,,,,,
2300,lomita,,,,,
2301,zanesville,,,,,
2302,lakeland,,,,,
2303,kinston,,,,,
2304,cypress,,,,,
2305,lexington,,,,,
2306,bourbonnais,,,,,
2307,laredo,,,,,
2308,milwaukee,,,,,
2309,waterloo,,,,,
2310,kent,,,,,
2311,cypress,,,,,
2312,american fork,,,,,
2313,saint james,,,,,
2314,westminster,,,,,
2315,jacksboro,,,,,
2316,parkersburg,,,,,
2317,milwaukee,,,,,
2318,schenectady,,,,,
2319,atascadero,,,,,
2320,dolton,,,,,
2321,slidell,,,,,
2322,kent,,,,,
2323,laredo,,,,,
2324,millington,,,,,
2325,bakersfield,,,,,
2326,grand blanc,,,,,
2327,norfolk,,,,,
2328,broken arrow,,,,,
2329,bakersfield,,,,,
2330,san juan,,,,,
2331,zamora,,,,,
2332,zamora,,,,,
2333,hastings,,,,,
2334,hammond,,,,,
2335,milwaukee,,,,,
2336,milwaukee,,,,,
2337,hammond,,,,,
2338,savannah,,,,,
2339,corona,,,,,
2340,rio grande,,,,,
2341,goldsboro,,,,,
2342,laredo,,,,,
2343,alpharetta,,,,,
2344,stafford,,,,,
2345,reidsville,,,,,
2346,goshen,,,,,
2347,clovis,,,,,
2348,belleville,,,,,
2349,crystal river,,,,,
2350,brownsville,,,,,
2351,upper marlboro,,,,,
2352,ossining,,,,,
2353,santa clara,,,,,
2354,topeka,,,,,
2355,weslaco,,,,,
2356,vestal,,,,,
2357,mantua,,,,,
2358,downey,,,,,
2359,mocksville,,,,,
2360,inman,,,,,
2361,summit,,,,,
2362,festus,,,,,
2363,kinston,,,,,
2364,bridgeport,,,,,
2365,brenham,,,,,
2366,bridgeport,,,,,
2367,kinston,,,,,
2368,bridgeton,,,,,
2369,warner robins,,,,,
2370,honolulu,,,,,
2371,belleville,,,,,
2372,germantown,,,,,
2373,norwalk,,,,,
2374,bogalusa,,,,,
2375,winston-salem,,,,,
2376,waipahu,,,,,
2377,woodbine,,,,,
2378,corpus christi,,,,,
2379,jersey city,,,,,
2380,cary,,,,,
2381,dickinson,,,,,
2382,mocksville,,,,,
2383,panama city,,,,,
2384,salem,,,,,
2385,san juan,,,,,
2386,honolulu,,,,,
2387,carmichael,,,,,
2388,grand prairie,,,,,
2389,danville,,,,,
2390,quincy,,,,,
2391,savannah,,,,,
2392,easton,,,,,
2393,laredo,,,,,
2394,temple,,,,,
2395,kyle,,,,,
2396,hammond,,,,,
2397,portsmouth,,,,,
2398,new brunswick,,,,,
2399,zanesville,,,,,
2400,norfolk,,,,,
2401,clearwater,,,,,
2402,kent,,,,,
2403,milwaukee,,,,,
2404,kent,,,,,
2405,zamora,,,,,
2406,honolulu,,,,,
2407,festus,,,,,
2408,norfolk,,,,,
2409,palatka,,,,,
2410,stafford,,,,,
2411,new bern,,,,,
2412,summit,,,,,
2413,milwaukee,,,,,
2414,murfreesboro,,,,,
2415,murfreesboro,,,,,
2416,olympia,,,,,
2417,venice,,,,,
2418,greer,,,,,
2419,kent,,,,,
2420,san juan,,,,,
2421,round rock,,,,,
2422,little rock,,,,,
2423,marble falls,,,,,
2424,san juan,,,,,
2425,palatka,,,,,
2426,college station,,,,,
2427,lexington,,,,,
2428,palatka,,,,,
2429,ventnor city,,,,,
2430,dora,,,,,
2431,smyrna,,,,,
2432,south charleston,,,,,
2433,lexington,,,,,
2434,latrobe,,,,,
2435,hammond,,,,,
2436,plano,,,,,
2437,pueblo,,,,,
2438,grand prairie,,,,,
2439,laredo,,,,,
2440,kirksville,,,,,
2441,east orange,,,,,
2442,kernersville,,,,,
2443,cary,,,,,
2444,morrow,,,,,
2445,fargo,,,,,
2446,honolulu,,,,,
2447,bakersfield,,,,,
2448,goldsboro,,,,,
2449,wilson,,,,,
2450,eustis,,,,,
2451,immokalee,,,,,
2452,apex,,,,,
2453,kent,,,,,
2454,fountain hill,,,,,
2455,sarasota,,,,,
2456,san juan,,,,,
2457,college station,,,,,
2458,mchenry,,,,,
2459,east chicago,,,,,
2460,brownsville,,,,,
2461,pueblo,,,,,
2462,port allen,,,,,
2463,honolulu,,,,,
2464,ocoee,,,,,
2465,brockton,,,,,
2466,portsmouth,,,,,
2467,riverhead,,,,,
2468,rossville,,,,,
2469,wallington,,,,,
2470,cassville,,,,,
2471,florence,,,,,
2472,west chicago,,,,,
2473,east chicago,,,,,
2474,carrollton,,,,,
2475,batesville,,,,,
2476,kent,,,,,
2477,montgomery,,,,,
2478,olympia,,,,,
2479,honolulu,,,,,
2480,grand prairie,,,,,
2481,lexington,,,,,
2482,milwaukee,,,,,
2483,carrollton,,,,,
2484,scottsdale,,,,,
2485,portsmouth,,,,,
2486,odessa,,,,,
2487,taunton,,,,,
2488,montgomery,,,,,
2489,monsey,,,,,
2490,venice,,,,,
2491,highland park,,,,,
2492,dolton,,,,,
2493,goldsboro,,,,,
2494,catlettsburg,,,,,
2495,fall river,,,,,
2496,sarasota,,,,,
2497,lexington,,,,,
2498,orange,,,,,
2499,wilson,,,,,
2500,pittsburg,,,,,
2501,san juan,,,,,
2502,rockford,,,,,
2503,erie,,,,,
2504,las piedras,,,,,
2505,huntington,,,,,
2506,shelby,,,,,
2507,rockford,,,,,
2508,montgomery,,,,,
2509,athol,,,,,
2510,sparks,,,,,
2511,florence,,,,,
2512,shelby,,,,,
2513,sarasota,,,,,
2514,quincy,,,,,
2515,lexington,,,,,
2516,johnson city,,,,,
2517,cypress,,,,,
2518,pacoima,,,,,
2519,tuscaloosa,,,,,
2520,racine,,,,,
2521,picayune,,,,,
2522,san juan,,,,,
2523,cassopolis,,,,,
2524,shelby,,,,,
2525,danbury,,,,,
2526,winter park,,,,,
2527,clay city,,,,,
2528,port saint lucie,,,,,
2529,maryville,,,,,
2530,elburn,,,,,
2531,taunton,,,,,
2532,honolulu,,,,,
2533,saint george,,,,,
2534,red oak,,,,,
2535,big bear,,,,,
2536,milwaukee,,,,,
2537,borger,,,,,
2538,hammond,,,,,
2539,gaithersburg,,,,,
2540,senatobia,,,,,
2541,belton,,,,,
2542,san luis potosí city,,,,,
2543,rocky point,,,,,
2544,jamestown,,,,,
2545,guaynabo,,,,,
2546,sun prairie,,,,,
2547,florence,,,,,
2548,laredo,,,,,
2549,uniontown,,,,,
2550,elmhurst,,,,,
2551,stoneham,,,,,
2552,hermitage,,,,,
2553,wayland,,,,,
2554,belmar,,,,,
2555,silverton,,,,,
2556,winston-salem,,,,,
2557,little rock,,,,,
2558,blackwood,,,,,
2559,waterbury,,,,,
2560,honolulu,,,,,
2561,waterbury,,,,,
2562,laguna hills,,,,,
2563,salem,,,,,
2564,hanover,,,,,
2565,norcross,,,,,
2566,san juan,,,,,
2567,evanston,,,,,
2568,gaithersburg,,,,,
2569,kent,,,,,
2570,mantua,,,,,
2571,south bend,,,,,
2572,orland park,,,,,
2573,lares,,,,,
2574,kent,,,,,
2575,sanderson,,,,,
2576,jasper,,,,,
2577,broomfield,,,,,
2578,milwaukee,,,,,
2579,milwaukee,,,,,
2580,newnan,,,,,
2581,johnson city,,,,,
2582,johnson city,,,,,
2583,neptune city,,,,,
2584,carrollton,,,,,
2585,milwaukee,,,,,
2586,goldsboro,,,,,
2587,wilson,,,,,
2588,carol stream,,,,,
2589,west memphis,,,,,
2590,laredo,,,,,
2591,odessa,,,,,
2592,lithonia,,,,,
2593,woodland,,,,,
2594,shafter,,,,,
2595,corona,,,,,
2596,kent,,,,,
2597,portsmouth,,,,,
2598,staunton,,,,,
2599,milwaukee,,,,,
2600,norfolk,,,,,
2601,laredo,,,,,
2602,kent,,,,,
2603,upper marlboro,,,,,
2604,san juan,,,,,
2605,greenbelt,,,,,
2606,carlisle,,,,,
2607,corona,,,,,
2608,norfolk,,,,,
2609,hoffman estates,,,,,
2610,milwaukee,,,,,
2611,overland,,,,,
2612,pittsburg,,,,,
2613,kent,,,,,
2614,laurelton,,,,,
2615,round rock,,,,,
2616,goose creek,,,,,
2617,olympia,,,,,
2618,honolulu,,,,,
2619,myersville,,,,,
2620,pickens,,,,,
2621,carson,,,,,
2622,ventnor city,,,,,
2623,bridgeport,,,,,
2624,kent,,,,,
2625,eaton rapids,,,,,
2626,grand prairie,,,,,
2627,san juan,,,,,
2628,savannah,,,,,
2629,san juan,,,,,
2630,carol stream,,,,,
2631,milwaukee,,,,,
2632,florence,,,,,
2633,spring valley,,,,,
2634,utica,,,,,
2635,mount holly,,,,,
2636,jacksboro,,,,,
2637,raymore,,,,,
2638,hermitage,,,,,
2639,mount airy,,,,,
2640,montgomery,,,,,
2641,jersey city,,,,,
2642,pacoima,,,,,
2643,cary,,,,,
2644,ypsilanti,,,,,
2645,norfolk,,,,,
2646,germantown,,,,,
2647,waterbury,,,,,
2648,carson,,,,,
2649,mchenry,,,,,
2650,san juan,,,,,
2651,kaysville,,,,,
2652,little rock,,,,,
2653,wilson,,,,,
2654,winston-salem,,,,,
2655,wilkesboro,,,,,
2656,port allen,,,,,
2657,ciudad juárez,,,,,
2658,surprise,,,,,
2659,cassville,,,,,
2660,wappingers falls,,,,,
2661,carlisle,,,,,
2662,laurelton,,,,,
2663,riverhead,,,,,
2664,wappingers falls,,,,,
2665,florence,,,,,
2666,honolulu,,,,,
2667,norfolk,,,,,
2668,tullahoma,,,,,
2669,olympia,,,,,
2670,lake jackson,,,,,
2671,montgomery,,,,,
2672,bakersfield,,,,,
2673,riverton,,,,,
2674,monsey,,,,,
2675,palatka,,,,,
2676,shafter,,,,,
2677,west sacramento,,,,,
2678,alpharetta,,,,,
2679,norfolk,,,,,
2680,staunton,,,,,
2681,willowbrook,,,,,
2682,honolulu,,,,,
2683,palatka,,,,,
2684,oil springs,,,,,
2685,cary,,,,,
2686,hammond,,,,,
2687,el centro,,,,,
2688,belleville,,,,,
2689,bridgeton,,,,,
2690,pacoima,,,,,
2691,lakeland,,,,,
2692,chesterfield,,,,,
2693,norwalk,,,,,
2694,seneca falls,,,,,
2695,clewiston,,,,,
2696,norristown,,,,,
2697,pacoima,,,,,
2698,norfolk,,,,,
2699,topeka,,,,,
2700,holland,,,,,
2701,fall river,,,,,
2702,norfolk,,,,,
2703,honolulu,,,,,
2704,kent,,,,,
2705,norwalk,,,,,
2706,palatka,,,,,
2707,oak grove,,,,,
2708,west monroe,,,,,
2709,binghamton,,,,,
2710,morrow,,,,,
2711,manito,,,,,
2712,cary,,,,,
2713,chalmette,,,,,
2714,honolulu,,,,,
2715,ventnor city,,,,,
2716,little rock,,,,,
2717,savannah,,,,,
2718,eau claire,,,,,
2719,benton harbor,,,,,
2720,pacoima,,,,,
2721,willis,,,,,
2722,weslaco,,,,,
2723,norfolk,,,,,
2724,corpus christi,,,,,
2725,glendora,,,,,
2726,sag harbor,,,,,
2727,hanford,,,,,
2728,honolulu,,,,,
2729,rockford,,,,,
2730,portsmouth,,,,,
2731,san juan,,,,,
2732,rocky mount,,,,,
2733,quincy,,,,,
2734,norristown,,,,,
2735,maryville,,,,,
2736,lakeland,,,,,
2737,round rock,,,,,
2738,grand blanc,,,,,
2739,lexington,,,,,
2740,duluth,,,,,
2741,maryville,,,,,
2742,milwaukee,,,,,
2743,sarasota,,,,,
2744,palmetto,,,,,
2745,portsmouth,,,,,
2746,bullhead city,,,,,
2747,orange,,,,,
2748,cypress,,,,,
2749,abbeville,,,,,
2750,clearwater,,,,,
2751,honolulu,,,,,
2752,norfolk,,,,,
2753,palmetto,,,,,
2754,chalmette,,,,,
2755,norcross,,,,,
2756,rocky mount,,,,,
2757,brownsville,,,,,
2758,san juan,,,,,
2759,fall river,,,,,
2760,chalmette,,,,,
2761,chanhassen,,,,,
2762,honolulu,,,,,
2763,lithonia,,,,,
2764,portsmouth,,,,,
2765,deridder,,,,,
2766,suffolk,,,,,
2767,panama city,,,,,
2768,murfreesboro,,,,,
2769,corona,,,,,
2770,sparks,,,,,
2771,waterbury,,,,,
2772,laredo,,,,,
2773,germantown,,,,,
2774,olympia,,,,,
2775,mount airy,,,,,
2776,atascadero,,,,,
2777,binghamton,,,,,
2778,kingshill,,,,,
2779,elk grove,,,,,
2780,montgomery,,,,,
2781,milwaukee,,,,,
2782,danbury,,,,,
2783,fall river,,,,,
2784,danville,,,,,
2785,desert hot springs,,,,,
2786,new baltimore,,,,,
2787,cypress,,,,,
2788,norfolk,,,,,
2789,kent,,,,,
2790,bowling green,,,,,
2791,goldsboro,,,,,
2792,smyrna,,,,,
2793,darlington,,,,,
2794,pikesville,,,,,
2795,kent,,,,,
2796,elmhurst,,,,,
2797,little rock,,,,,
2798,laredo,,,,,
2799,riverton,,,,,
2800,rockford,,,,,
2801,norristown,,,,,
2802,parker,,,,,
2803,hannibal,,,,,
2804,palatka,,,,,
2805,crozet,,,,,
2806,huntington,,,,,
2807,palatine,,,,,
2808,portsmouth,,,,,
2809,elkton,,,,,
2810,huntington park,,,,,
2811,glenolden,,,,,
2812,wellesley hills,,,,,
2813,elkton,,,,,
2814,peachtree corners,,,,,
2815,colonial heights,,,,,
2816,glenn dale,,,,,
2817,moultrie,,,,,
2818,eustis,,,,,
2819,pacoima,,,,,
2820,apache junction,,,,,
2821,south bend,,,,,
2822,mercer island,,,,,
2823,madisonville,,,,,
2824,sun prairie,,,,,
2825,rockford,,,,,
2826,palmetto,,,,,
2827,rossville,,,,,
2828,pueblo,,,,,
2829,round rock,,,,,
2830,norfolk,,,,,
2831,san juan,,,,,
2832,honolulu,,,,,
2833,norfolk,,,,,
