first_day_in_week,last_day_in_week,VNTZ_main_symb_weekly_mean_diff,MDPR.TA_weekly_mean_diff_0.36,ZUR.TA_weekly_mean_diff_0.36,DRAL.TA_weekly_mean_diff_-0.39,MNIN.TA_weekly_mean_diff_0.39,LAPD.TA_weekly_mean_diff_0.41,CFX.TA_weekly_mean_diff_-0.42,FIBIH.TA_weekly_mean_diff_-0.47,MDTR.TA_weekly_mean_diff_0.47,MGOR.TA_weekly_mean_diff_0.51,MRIN.TA_weekly_mean_diff_0.53,ALD.TA_weekly_mean_diff_0.55,MISH.TA_weekly_mean_diff_0.57,PLTF.TA_weekly_mean_diff_0.72
2019-07-21,2019-07-27,-0.013600000739097595,1.0,5.619995117187523,11.8,4.75999755859375,4.989990234375,0.45999755859375,32.0,4.5,63.8,2.4599975585937273,3.0000000000000115,30.2,-1.8599998474121109
2019-07-28,2019-08-03,-0.004000002145767229,0.920001220703125,-3.0,-18.6,-4.2199951171875,-23.75400390625,1.420001220703125,92.0,8.2199951171875,46.6,-3.759997558593727,3.85999755859375,6.6,0.21999969482422016
2019-08-04,2019-08-10,-0.0031999975442886237,1.079998779296875,-4.680004882812478,-16.6,11.45999755859375,2.793994140625,2.14000244140625,-20.0,16.0,72.2,-3.560003662109375,-2.15999755859375,-22.4,-2.4
2019-08-11,2019-08-17,-0.0006000012159347478,-0.020001220703125,-7.079992675781273,-46.0,-25.25999755859375,1.397998046875,3.75999755859375,-14.0,-2.05999755859375,-89.8,-0.479998779296875,0.05999755859375,-52.6,-0.18000030517578125
2019-08-18,2019-08-24,0.0006000012159347478,0.9799987792968864,3.879992675781273,174.4,-2.55999755859375,9.5820068359375,0.520001220703125,66.0,0.35999755859375,73.0,-0.28000488281248864,-1.5,74.0,-0.37999954223632815
2019-08-25,2019-08-31,0.0,0.1,23.080004882812478,26.0,-5.85999755859375,9.9800048828125,-4.5,-36.0,6.55999755859375,0.2,-5.479998779296887,-5.039996337890625,-19.8,-0.020000457763671875
2019-09-01,2019-09-07,0.0,-4.479998779296887,1.6,91.8,11.4199951171875,-10.3800048828125,-10.060003662109363,-34.0,2.94000244140625,-23.2,4.7,-4.620001220703131,-11.2,0.04000015258789062
2020-02-09,2020-02-15,0.8099999725818634,8.7199951171875,17.8,-158.2,17.3199951171875,26.8,-8.320001220703125,-166.0,20.6,247.4,22.2,14.599999999999994,214.4,11.199999237060549
2020-06-07,2020-06-13,0.0,14.549995422363281,-11.649993896484375,-171.75,-0.899993896484375,-25.25,2.9249954223632812,-4.5,-8.25,72.75,20.925003051757812,-0.7250022888183594,6.75,-0.8749999999999982
2020-06-14,2020-06-20,0.0,2.620001220703125,-18.1800048828125,-90.2,1.8,12.2,-1.020001220703125,-10.8,10.75999755859375,60.0,11.2,6.980001831054688,1.8,0.41999969482422017
2020-06-21,2020-06-27,0.0,-5.240002441406238,-15.9,-79.2,-1.02000732421875,-7.6,-1.679998779296875,-81.8,4.0800048828125,-197.2,-8.4,-4.0800018310546875,-71.2,-2.3400001525878906
2020-06-28,2020-07-04,0.0,1.0600055694579964,3.2800067901611554,177.3999450683594,7.100006103515625,10.200003051757813,2.0200025558471566,76.80001831054688,5.9599967956542965,77.40004272460938,-3.6,2.560001277923578,71.2000274658205,5.03999967575073
2020-07-05,2020-07-11,0.0,-4.560005569457997,-10.019997024536156,4.000054931640625,-1.800006103515625,-19.000003051757812,-1.2400037765502816,-141.80001831054688,-20.740001678466797,-146.20004272460938,-3.75999755859375,1.0200005531311092,-38.2000274658205,-0.060000133514401456
2020-07-12,2020-07-18,0.0,0.4,-0.44000244140627276,71.6,11.64000244140625,11.0,-0.639996337890625,38.6,-3.04000244140625,46.0,-6.24000244140625,0.8599975585937557,21.8,-0.8
