first_day_in_week,last_day_in_week,CANF_main_symb_weekly_mean_diff,SFET.TA_weekly_mean_diff_0.36,FRSX.TA_weekly_mean_diff_0.38,SPNTC.TA_weekly_mean_diff_0.38,IGLD.TA_weekly_mean_diff_0.47,BCOM.TA_weekly_mean_diff_0.52
2019-12-29,2020-01-04,-1.1,-0.06000022888183594,1.5600006103515625,9.080004882812466,-51.2,-5.9800048828125
2020-01-05,2020-01-11,0.1,0.06000022888183594,1.4800003051757813,0.9,-103.6,-5.9
2020-01-12,2020-01-18,-0.2200004577636712,-0.2,-1.2,-3.759997558593727,-5.2,-5.2800048828125
2020-01-19,2020-01-25,-0.939999771118164,0.279999923706054,0.08000030517578124,-5.04000244140625,15.4,4.8800048828125
2020-01-26,2020-02-01,-0.4799999237060561,-1.2,1.4,3.9999999999999774,21.6,-8.6199951171875
2020-02-02,2020-02-08,-2.180000114440917,-0.14000015258789061,-2.0600006103515627,-7.940002441406227,3.8,-10.220007324218738
2020-02-09,2020-02-15,0.6600000381469723,-0.039999771118164065,-1.5199996948242216,4.279998779296875,-125.2,6.100000000000011
2020-02-16,2020-02-22,-0.4200000762939453,-0.16000022888183593,0.3599990844726591,-2.5,-38.8,-3.9399963378906477
2020-02-23,2020-02-29,2.0250000953674325,-0.3799999237060547,-1.1,-6.020001220703113,-56.6,-10.860003662109364
2020-03-01,2020-03-07,-1.7000002861022958,-0.8499999046325684,-0.9249992370605469,-1.4499969482422017,45.25,-15.449996948242202
2020-03-08,2020-03-14,0.16000022888183593,-1.0250000953674316,-4.949999809265137,7.949996948242202,-126.75,-19.675003051757812
2020-03-15,2020-03-21,0.020000076293945308,0.7200000762939454,-0.9400001525878906,14.159997558593739,-34.8,-2.05999755859375
2020-03-22,2020-03-28,-0.08000030517578123,0.0,0.08000030517578124,1.94000244140625,-13.819995117187522,4.5
2020-03-29,2020-04-04,0.5333334604899088,0.439999961853027,3.2199996948242187,16.15999755859375,-2.6600097656249546,-3.820001220703125
2020-04-05,2020-04-11,1.4666665395100924,-1.0333331425984695,-0.5333328247070336,10.900004069010416,-3.1666666666666665,8.700002034505209
2020-04-12,2020-04-18,-0.41999969482421945,0.4666665395100911,-0.23333358764648202,-1.73333740234375,694.9666748046875,2.133331298828125
2020-04-19,2020-04-25,0.39999961853027344,-0.6799999237060547,0.31999969482421875,9.42000732421875,127.4,5.44000244140625
